msg_id,app_protocol,src_port,dst_port,src_app,dst_app,message,timestamp
1,HTTP,50000,80,client_browser,web_server,GET /index.html,0.015
2,HTTP,50000,80,client_browser,web_server,GET /products,0.217
3,HTTP,50000,80,client_browser,web_server,GET /images/logo.png,0.389
4,HTTP,50000,80,client_browser,web_server,POST /login username=user&password=1234,0.512
5,HTTP,50000,80,client_browser,web_server,GET /dashboard,0.733
6,HTTP,50000,80,client_browser,web_server,GET /api/user/profile,1.102
7,HTTP,50000,80,client_browser,web_server,GET /api/cart,1.304
8,HTTP,50000,80,client_browser,web_server,POST /api/cart/add item_id=42,1.578
9,HTTP,50000,80,client_browser,web_server,GET /logout,1.841
10,HTTP,50000,80,client_browser,web_server,GET /index.html,2.113
,,,,,,,
,,,,,,,
